"","Place","Points","Percent_Earned","Song_Order","Country","Participants"
"1",16,94,0.103070175438596,1,"Cyprus",39
"2",21,57,0.0625,2,"Albania",39
"3",17,93,0.101973684210526,3,"Israel",39
"4",19,74,0.081140350877193,4,"Belgium",39
"5",9,204,0.223684210526316,5,"Russia",39
"6",7,255,0.279605263157895,6,"Malta",39
"7",12,153,0.167763157894737,7,"Portugal",39
"8",15,102,0.111842105263158,8,"Serbia",39
"9",26,0,0,9,"United Kingdom",39
"10",10,170,0.18640350877193,10,"Greece",39
"11",3,432,0.473684210526316,11,"Switzerland",39
"12",4,378,0.414473684210526,12,"Iceland",39
"13",24,6,0.00657894736842105,13,"Spain",39
"14",13,115,0.12609649122807,14,"Moldova",39
"15",25,3,0.00328947368421053,15,"Germany",39
"16",6,301,0.330043859649123,16,"Finland",39
"17",11,170,0.18640350877193,17,"Bulgaria",39
"18",8,220,0.241228070175439,18,"Lithuania",39
"19",5,364,0.399122807017544,19,"Ukraine",39
"20",2,499,0.547149122807018,20,"France",39
"21",20,65,0.0712719298245614,21,"Azerbaijan",39
"22",18,75,0.0822368421052632,22,"Norway",39
"23",23,11,0.0120614035087719,23,"Netherlands",39
"24",1,524,0.574561403508772,24,"Italy",39
"25",14,109,0.119517543859649,25,"Sweden",39
"26",22,50,0.0548245614035088,26,"San Marino",39
